time,latitude,longitude,mag,nst,net
2013-12-09T15:15:16.800Z,38.8192,-122.7938,0.6,,nc
2013-12-09T15:12:32.000Z,63.4911,-150.8686,0.7,,ak
2013-12-09T15:00:07.000Z,63.2337,-150.3627,1.1,13,ak
2013-12-09T14:53:55.100Z,38.7957,-122.781,0.5,,nc
2013-12-09T14:40:40.200Z,38.82,-122.7943,1.2,,nc
2013-12-09T14:27:29.000Z,63.3353,-145.0263,1.1,8,ak
2013-12-09T14:18:24.400Z,36.3075,-120.8507,2.2,,nc
2013-12-09T14:10:50.600Z,18.4533,-67.4944,2.9,7,pr
2013-12-09T14:06:29.150Z,33.8661667,-116.8208333,0.81,18,ci
2013-12-09T14:04:45.900Z,38.7585,-122.7278,1,,nc
2013-12-09T13:49:44.400Z,38.8388,-122.8013,0.6,,nc
2013-12-09T13:38:51.580Z,34.1888333,-116.7033333,1.95,50,ci
2013-12-09T13:38:34.000Z,61.9037,-150.91,1.6,15,ak
2013-12-09T13:31:16.060Z,12.8946,124.1751,4.8,,us
2013-12-09T13:29:31.800Z,38.8097,-122.8155,0.9,,nc
2013-12-09T13:26:20.600Z,18.708,-64.1371,2.3,5,pr
2013-12-09T13:13:01.400Z,38.8372,-122.7867,0.9,,nc
2013-12-09T13:12:11.000Z,64.891,-144.3907,1.5,15,ak
2013-12-09T12:47:54.000Z,62.0059,-150.395,1.5,17,ak
2013-12-09T12:43:40.000Z,61.1269,-151.0534,1.3,6,ak
2013-12-09T12:29:40.300Z,19.3758,-155.0708,3.2,,hv
2013-12-09T12:15:36.000Z,62.3359,-151.3459,1.5,9,ak
2013-12-09T12:11:32.000Z,61.1832,-151.3372,1.8,13,ak
2013-12-09T12:05:03.000Z,63.2989,-151.1499,0.9,4,ak
2013-12-09T12:03:53.166Z,36.9086,-116.1863,1.93,14,nn
2013-12-09T11:52:06.700Z,33.6533333,-116.7073333,-0.29,4,ci
2013-12-09T11:51:35.390Z,33.5561667,-116.6618333,-0.39,10,ci
2013-12-09T11:51:35.000Z,36.5638,-121.0708,2,,nc
2013-12-09T11:49:03.000Z,59.5759,-152.3603,2.7,20,ak
2013-12-09T11:36:45.700Z,41.3347,-113.2458,1.1,,uu
2013-12-09T11:33:52.650Z,38.6618,55.6091,5.2,,us
2013-12-09T11:14:53.456Z,39.5593,-119.9496,1.49,30,nn
2013-12-09T11:12:23.660Z,33.9716667,-116.7911667,0.78,27,ci
2013-12-09T11:10:32.000Z,62.0715,-147.48,1.2,10,ak
2013-12-09T11:05:54.400Z,47.7582,-122.8575,0.4,,uw
2013-12-09T10:42:28.330Z,34.2211667,-117.5116667,0.67,12,ci
2013-12-09T10:16:42.900Z,19.4252,-155.2718,0.5,,hv
2013-12-09T10:13:22.663Z,39.0412,-119.6171,0.83,17,nn
2013-12-09T10:12:42.500Z,47.756,-122.875,0.3,,uw
2013-12-09T10:03:39.000Z,59.9867,-151.8326,1.5,6,ak
2013-12-09T09:55:05.400Z,47.2882,-122.4532,1,,uw
2013-12-09T09:53:53.800Z,46.3185,-122.3723,0.4,,uw
2013-12-09T09:46:55.000Z,57.6304,-154.3899,2,4,ak
2013-12-09T09:44:39.000Z,62.3506,-149.0397,1.2,16,ak
2013-12-09T09:42:24.000Z,60.2515,-149.9018,2.2,58,ak
2013-12-09T09:34:56.000Z,62.9599,-150.8584,1.5,13,ak
2013-12-09T09:34:18.000Z,53.9202,-165.2998,3.5,19,ak
2013-12-09T09:26:57.000Z,61.0466,-148.333,1.5,9,ak
2013-12-09T09:25:24.200Z,37.5895,-119.0182,1.4,,nc
2013-12-09T09:23:14.420Z,32.9571,-98.0611,3.7,,us
2013-12-09T09:00:41.190Z,-60.9394,-23.0234,5.2,,us
2013-12-09T08:59:36.080Z,38.3157,21.8371,4.3,,us
2013-12-09T08:47:26.350Z,2.7134,128.3642,5.6,,us
2013-12-09T08:36:13.870Z,34.7193333,-118.968,1.78,29,ci
2013-12-09T08:36:05.000Z,61.0596,-151.1262,1.1,12,ak
2013-12-09T08:25:34.100Z,38.8042,-122.772,0.9,,nc
2013-12-09T08:23:44.000Z,60.7098,-152.0812,0.9,14,ak
