time,latitude,longitude,mag,net
2013-11-20T17:59:40.120Z,39.4393,-82.1896,3.5,us
2013-11-20T17:38:10.500Z,34.1747,-117.3438,1.3,ci
2013-11-20T17:34:06.700Z,18.0405,-67.1405,1.9,pr
2013-11-20T17:31:44.200Z,38.8233,-122.795,1.6,nc
2013-11-20T17:19:53.300Z,38.8172,-122.8278,1,nc
2013-11-20T17:18:36.000Z,62.7927,-149.6218,1.7,ak
2013-11-20T17:04:57.400Z,35.4035,-118.397,1.3,ci
2013-11-20T17:00:20.000Z,61.7402,-150.8339,1.2,ak
2013-11-20T16:57:35.700Z,37.525,-121.8883,1.1,nc
2013-11-20T16:48:37.000Z,59.1951,-150.7626,2.6,ak
2013-11-20T16:38:43.100Z,35.9923,-120.557,1,nc
2013-11-20T16:07:46.000Z,61.9872,-147.7117,1.3,ak
2013-11-20T16:03:19.800Z,46.6383,-112.045,1.6,mb
2013-11-20T15:54:45.000Z,-55.3678,-26.7209,4.8,us
2013-11-20T15:50:45.500Z,35.4047,-118.3953,1.5,ci
2013-11-20T15:48:43.000Z,35.4043,-118.4007,2.9,ci
2013-11-20T15:38:03.578Z,38.561,-119.6229,1.35,nn
2013-11-20T15:23:10.200Z,36.0073,-117.8057,1.2,ci
2013-11-20T14:50:27.000Z,59.8334,-152.0816,1.4,ak
2013-11-20T14:42:55.000Z,59.7691,-152.0727,2.9,ak
2013-11-20T14:32:47.500Z,39.8522,-120.4955,1,nc
2013-11-20T14:23:41.800Z,33.903,-116.8282,1.1,ci
2013-11-20T14:11:51.500Z,38.8107,-122.8117,2.2,nc
2013-11-20T14:03:05.200Z,39.4885,-123.1058,1.5,nc
2013-11-20T14:01:31.960Z,-60.2806,-47.3755,4.8,us
2013-11-20T13:59:35.800Z,19.0093,-65.1009,2.4,pr
2013-11-20T13:54:22.460Z,41.4919,138.4054,4.4,us
2013-11-20T13:52:13.510Z,-2.0746,-12.656,4.6,us
2013-11-20T13:48:42.000Z,60.1141,-153.1637,2.1,ak
2013-11-20T13:22:03.000Z,60.9648,-150.7354,1.6,ak
2013-11-20T12:46:17.800Z,38.8312,-122.8048,1,nc
2013-11-20T11:21:59.000Z,18.8621,-66.1195,2.6,pr
